,group,song_lines,tokenized,lemmatized
575,Kaleo,—track track right track. ,"['—track', 'track', 'right', 'track', '.']",—track track right track .
576,Kaleo,rightra—right right ,"['rightra—right', 'right']",rightra—right right
577,Kaleo,right. right tracktrack. ,"['right.', 'right', 'tracktrack', '.']",right. right tracktrack .
578,Kaleo,right track ruhruh track. trtrtrtr ,"['right', 'track', 'ruhruh', 'track.', 'trtrtrtr']",right track ruhruh track. trtrtrtr
579,Kaleo,we’re on the right track. ,"['we’re', 'on', 'the', 'right', 'track', '.']",we’re on the right track .
580,Kaleo,riritratra riritra,"['riritratra', 'riritra']",riritratra riritra
581,Kaleo,riririri r r r r tr tr ,"['riririri', 'r', 'r', 'r', 'r', 'tr', 'tr']",riririri r r r r tr tr
582,Kaleo,ri r r tra—ri r r r tra,"['ri', 'r', 'r', 'tra—ri', 'r', 'r', 'r', 'tra']",ri r r tra—ri r r r tra
583,Kaleo,righ—r r r r r r—tra track. ,"['righ—r', 'r', 'r', 'r', 'r', 'r—tra', 'track', '.']",righ—r r r r r r—tra track .
584,Kaleo,ri ri track track a a track ,"['ri', 'ri', 'track', 'track', 'a', 'a', 'track']",ri ri track track a a track
585,Kaleo,a a a a a/a/a/a track (trtrtrtrtr),"['a', 'a', 'a', 'a', 'a/a/a/a', 'track', '(', 'trtrtrtrtr', ')']",a a a a a/a/a/a track ( trtrtrtrtr )
586,Kaleo,a a a a a a,"['a', 'a', 'a', 'a', 'a', 'a']",a a a a a a
587,Kaleo,right right right,"['right', 'right', 'right']",right right right
588,Kaleo,ttttttttrack,['ttttttttrack'],ttttttttrack
590,Kaleo,[resolve],"['[', 'resolve', ']']",[ resolve ]
591,Kaleo,how do you feel?,"['how', 'do', 'you', 'feel', '?']",how do you feel ?
592,Kaleo,stop holding back!,"['stop', 'holding', 'back', '!']",stop holding back !
593,Kaleo,"no use to conceal,","['no', 'use', 'to', 'conceal', ',']","no use to conceal ,"
594,Kaleo,we’re on the right track.,"['we’re', 'on', 'the', 'right', 'track', '.']",we’re on the right track .
595,Måneskin,all this is more than a missing ,"['all', 'this', 'is', 'more', 'than', 'a', 'missing']",all this is more than a missing
596,Måneskin,i'm feeling ridiculous ,"['i', ""'m"", 'feeling', 'ridiculous']",i 'm feeling ridiculous
597,Måneskin,this is more than a dissing ,"['this', 'is', 'more', 'than', 'a', 'dissing']",this is more than a dissing
598,Måneskin,so shut up and listen ,"['so', 'shut', 'up', 'and', 'listen']",so shut up and listen
599,Måneskin,oh i've got more than you're dreaming ,"['oh', 'i', ""'ve"", 'got', 'more', 'than', 'you', ""'re"", 'dreaming']",oh i 've got more than you 're dreaming
600,Måneskin,so stay with your prisoners ,"['so', 'stay', 'with', 'your', 'prisoners']",so stay with your prisoner
601,Måneskin,"i've got something to teach ya, baby ","['i', ""'ve"", 'got', 'something', 'to', 'teach', 'ya', ',', 'baby']","i 've got something to teach ya , baby"
602,Måneskin,but let me tell you something baby ,"['but', 'let', 'me', 'tell', 'you', 'something', 'baby']",but let me tell you something baby
603,Måneskin,i just wanna hold you close enough ,"['i', 'just', 'wan', 'na', 'hold', 'you', 'close', 'enough']",i just wan na hold you close enough
604,Måneskin,and i wanna live just you and i,"['and', 'i', 'wan', 'na', 'live', 'just', 'you', 'and', 'i']",and i wan na live just you and i
606,Måneskin,baby i just want you close enough ,"['baby', 'i', 'just', 'want', 'you', 'close', 'enough']",baby i just want you close enough
607,Måneskin,baby i just want you close enough ,"['baby', 'i', 'just', 'want', 'you', 'close', 'enough']",baby i just want you close enough
608,Måneskin,and i wanna live just you and i ,"['and', 'i', 'wan', 'na', 'live', 'just', 'you', 'and', 'i']",and i wan na live just you and i
609,Måneskin,baby i just want you close enough ,"['baby', 'i', 'just', 'want', 'you', 'close', 'enough']",baby i just want you close enough
610,Måneskin,baby i just want you close enough ,"['baby', 'i', 'just', 'want', 'you', 'close', 'enough']",baby i just want you close enough
611,Måneskin,"but let me tell you something baby, baby ooh ","['but', 'let', 'me', 'tell', 'you', 'something', 'baby', ',', 'baby', 'ooh']","but let me tell you something baby , baby ooh"
613,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
614,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
615,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
616,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
617,Måneskin,tonight i won't be yours ,"['tonight', 'i', 'wo', ""n't"", 'be', 'yours']",tonight i wo n't be yours
618,Måneskin,tonight i won't be yours ,"['tonight', 'i', 'wo', ""n't"", 'be', 'yours']",tonight i wo n't be yours
619,Måneskin,"tonight i won't be yours, baby ","['tonight', 'i', 'wo', ""n't"", 'be', 'yours', ',', 'baby']","tonight i wo n't be yours , baby"
620,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
621,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
622,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
623,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
624,Måneskin,tonight i won't be yours ,"['tonight', 'i', 'wo', ""n't"", 'be', 'yours']",tonight i wo n't be yours
625,Måneskin,tonight i won't be yours ,"['tonight', 'i', 'wo', ""n't"", 'be', 'yours']",tonight i wo n't be yours
626,Måneskin,"tonight i won't be yours, baby ","['tonight', 'i', 'wo', ""n't"", 'be', 'yours', ',', 'baby']","tonight i wo n't be yours , baby"
628,Måneskin,oh this is more than a kiss for me ,"['oh', 'this', 'is', 'more', 'than', 'a', 'kiss', 'for', 'me']",oh this is more than a kiss for me
629,Måneskin,you left me with no breath ,"['you', 'left', 'me', 'with', 'no', 'breath']",you left me with no breath
630,Måneskin,and i'm feeling so bad for ya ,"['and', 'i', ""'m"", 'feeling', 'so', 'bad', 'for', 'ya']",and i 'm feeling so bad for ya
631,Måneskin,i'm feeling so bad ,"['i', ""'m"", 'feeling', 'so', 'bad']",i 'm feeling so bad
632,Måneskin,you were lying in front of me ,"['you', 'were', 'lying', 'in', 'front', 'of', 'me']",you were lying in front of me
633,Måneskin,naked in the bed ,"['naked', 'in', 'the', 'bed']",naked in the bed
634,Måneskin,"no i've got something to teach ya, baby ","['no', 'i', ""'ve"", 'got', 'something', 'to', 'teach', 'ya', ',', 'baby']","no i 've got something to teach ya , baby"
635,Måneskin,but let me tell you something baby ,"['but', 'let', 'me', 'tell', 'you', 'something', 'baby']",but let me tell you something baby
636,Måneskin,i just wanna hold you close enough ,"['i', 'just', 'wan', 'na', 'hold', 'you', 'close', 'enough']",i just wan na hold you close enough
637,Måneskin,and i wanna live just you and i ,"['and', 'i', 'wan', 'na', 'live', 'just', 'you', 'and', 'i']",and i wan na live just you and i
638,Måneskin,baby i just want you close enough ,"['baby', 'i', 'just', 'want', 'you', 'close', 'enough']",baby i just want you close enough
639,Måneskin,baby i just want you close enough ,"['baby', 'i', 'just', 'want', 'you', 'close', 'enough']",baby i just want you close enough
640,Måneskin,and i wanna live just you and i ,"['and', 'i', 'wan', 'na', 'live', 'just', 'you', 'and', 'i']",and i wan na live just you and i
641,Måneskin,baby i just want you close enough ,"['baby', 'i', 'just', 'want', 'you', 'close', 'enough']",baby i just want you close enough
642,Måneskin,baby i just want you close enough ,"['baby', 'i', 'just', 'want', 'you', 'close', 'enough']",baby i just want you close enough
643,Måneskin,"but let me tell you something baby, baby whoa","['but', 'let', 'me', 'tell', 'you', 'something', 'baby', ',', 'baby', 'whoa']","but let me tell you something baby , baby whoa"
645,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
646,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
647,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
648,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
649,Måneskin,tonight i won't be yours ,"['tonight', 'i', 'wo', ""n't"", 'be', 'yours']",tonight i wo n't be yours
650,Måneskin,tonight i won't be yours ,"['tonight', 'i', 'wo', ""n't"", 'be', 'yours']",tonight i wo n't be yours
651,Måneskin,"tonight i won't be yours, baby ","['tonight', 'i', 'wo', ""n't"", 'be', 'yours', ',', 'baby']","tonight i wo n't be yours , baby"
653,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
654,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
655,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
656,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
657,Måneskin,tonight i won't be yours ,"['tonight', 'i', 'wo', ""n't"", 'be', 'yours']",tonight i wo n't be yours
658,Måneskin,tonight i won't be yours ,"['tonight', 'i', 'wo', ""n't"", 'be', 'yours']",tonight i wo n't be yours
659,Måneskin,"tonight i won't be yours, baby ","['tonight', 'i', 'wo', ""n't"", 'be', 'yours', ',', 'baby']","tonight i wo n't be yours , baby"
661,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
662,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
663,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
664,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
665,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
666,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
667,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
668,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
669,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
670,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
671,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
672,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
673,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
674,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
675,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
676,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
678,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
679,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
680,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
681,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
682,Måneskin,tonight i won't be yours ,"['tonight', 'i', 'wo', ""n't"", 'be', 'yours']",tonight i wo n't be yours
683,Måneskin,tonight i won't be yours ,"['tonight', 'i', 'wo', ""n't"", 'be', 'yours']",tonight i wo n't be yours
684,Måneskin,"tonight i won't be yours, baby ","['tonight', 'i', 'wo', ""n't"", 'be', 'yours', ',', 'baby']","tonight i wo n't be yours , baby"
686,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
687,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
688,Måneskin,you've got me trapped in your mind ,"['you', ""'ve"", 'got', 'me', 'trapped', 'in', 'your', 'mind']",you 've got me trapped in your mind
689,Måneskin,but tonight i won't be yours ,"['but', 'tonight', 'i', 'wo', ""n't"", 'be', 'yours']",but tonight i wo n't be yours
690,Måneskin,tonight i won't be yours ,"['tonight', 'i', 'wo', ""n't"", 'be', 'yours']",tonight i wo n't be yours
691,Måneskin,tonight i won't be yours ,"['tonight', 'i', 'wo', ""n't"", 'be', 'yours']",tonight i wo n't be yours
692,Måneskin,"tonight i won't be yours, baby","['tonight', 'i', 'wo', ""n't"", 'be', 'yours', ',', 'baby']","tonight i wo n't be yours , baby"
693,Måneskin,cammino per la mia città ,"['cammino', 'per', 'la', 'mia', 'città']",cammino per la mia città
694,Måneskin,ed il vento soffia forte ,"['ed', 'il', 'vento', 'soffia', 'forte']",ed il vento soffia forte
695,Måneskin,mi son lasciato tutto indietro e il sole all'orizzonte ,"['mi', 'son', 'lasciato', 'tutto', 'indietro', 'e', 'il', 'sole', ""all'orizzonte""]",mi son lasciato tutto indietro e il sole all'orizzonte
696,Måneskin,"vedo le case, da lontano, hanno chiuso le porte ","['vedo', 'le', 'case', ',', 'da', 'lontano', ',', 'hanno', 'chiuso', 'le', 'porte']","vedo le case , da lontano , hanno chiuso le porte"
697,Måneskin,ma per fortuna ho la sua mano e le sue guance rosse ,"['ma', 'per', 'fortuna', 'ho', 'la', 'sua', 'mano', 'e', 'le', 'sue', 'guance', 'rosse']",ma per fortuna ho la sua mano e le sue guance rosse
698,Måneskin,lei mi ha raccolto da per terra coperto di spine ,"['lei', 'mi', 'ha', 'raccolto', 'da', 'per', 'terra', 'coperto', 'di', 'spine']",lei mi ha raccolto da per terra coperto di spine
699,Måneskin,coi morsi di mille serpenti fermo per le spire ,"['coi', 'morsi', 'di', 'mille', 'serpenti', 'fermo', 'per', 'le', 'spire']",coi morsi di mille serpenti fermo per le spire
700,Måneskin,non ha ascoltato quei bastardi e il loro maledire ,"['non', 'ha', 'ascoltato', 'quei', 'bastardi', 'e', 'il', 'loro', 'maledire']",non ha ascoltato quei bastardi e il loro maledire
701,Måneskin,con uno sguardo mi ha convinto a prendere e partire ,"['con', 'uno', 'sguardo', 'mi', 'ha', 'convinto', 'a', 'prendere', 'e', 'partire']",con uno sguardo mi ha convinto a prendere e partire
702,Måneskin,che questo è un viaggio che nessuno prima d'ora ha fatto ,"['che', 'questo', 'è', 'un', 'viaggio', 'che', 'nessuno', 'prima', ""d'ora"", 'ha', 'fatto']",che questo è un viaggio che nessuno prima d'ora ha fatto
703,Måneskin,"alice, le sue meraviglie e il cappellaio matto ","['alice', ',', 'le', 'sue', 'meraviglie', 'e', 'il', 'cappellaio', 'matto']","alice , le sue meraviglie e il cappellaio matto"
704,Måneskin,cammineremo per 'sta strada e non sarò mai stanco ,"['cammineremo', 'per', ""'sta"", 'strada', 'e', 'non', 'sarò', 'mai', 'stanco']",cammineremo per 'sta strada e non sarò mai stanco
705,Måneskin,fino a che il tempo porterà sui tuoi capelli il bianco ,"['fino', 'a', 'che', 'il', 'tempo', 'porterà', 'sui', 'tuoi', 'capelli', 'il', 'bianco']",fino a che il tempo porterà sui tuoi capelli il bianco
706,Måneskin,che mi è rimasto un foglio in mano e mezza sigaretta ,"['che', 'mi', 'è', 'rimasto', 'un', 'foglio', 'in', 'mano', 'e', 'mezza', 'sigaretta']",che mi è rimasto un foglio in mano e mezza sigaretta
707,Måneskin,"restiamo un po' di tempo ancora, tanto non c'è fretta ","['restiamo', 'un', 'po', ""'"", 'di', 'tempo', 'ancora', ',', 'tanto', 'non', ""c'è"", 'fretta']","restiamo un po ' di tempo ancora , tanto non c'è fretta"
708,Måneskin,che c'ho una frase scritta in testa ma non l'ho mai detta ,"['che', ""c'ho"", 'una', 'frase', 'scritta', 'in', 'testa', 'ma', 'non', ""l'ho"", 'mai', 'detta']",che c'ho una frase scritta in testa ma non l'ho mai detta
709,Måneskin,"perché la vita, senza te, non può essere perfetta ","['perché', 'la', 'vita', ',', 'senza', 'te', ',', 'non', 'può', 'essere', 'perfetta']","perché la vita , senza te , non può essere perfetta"
711,Måneskin,"quindi marlena torna a casa, che il freddo qua si fa sentire ","['quindi', 'marlena', 'torna', 'a', 'casa', ',', 'che', 'il', 'freddo', 'qua', 'si', 'fa', 'sentire']","quindi marlena torna a casa , che il freddo qua si fa sentire"
712,Måneskin,"quindi marlena torna a casa, che non voglio più aspettare ","['quindi', 'marlena', 'torna', 'a', 'casa', ',', 'che', 'non', 'voglio', 'più', 'aspettare']","quindi marlena torna a casa , che non voglio più aspettare"
713,Måneskin,"quindi marlena torna a casa, che il freddo qua si fa sentire ","['quindi', 'marlena', 'torna', 'a', 'casa', ',', 'che', 'il', 'freddo', 'qua', 'si', 'fa', 'sentire']","quindi marlena torna a casa , che il freddo qua si fa sentire"
714,Måneskin,"quindi marlena torna a casa, che ho paura di sparire ","['quindi', 'marlena', 'torna', 'a', 'casa', ',', 'che', 'ho', 'paura', 'di', 'sparire']","quindi marlena torna a casa , che ho paura di sparire"
716,Måneskin,e il cielo piano piano qua diventa trasparente ,"['e', 'il', 'cielo', 'piano', 'piano', 'qua', 'diventa', 'trasparente']",e il cielo piano piano qua diventa trasparente
717,Måneskin,il sole illumina le debolezze della gente ,"['il', 'sole', 'illumina', 'le', 'debolezze', 'della', 'gente']",il sole illumina le debolezze della gente
718,Måneskin,una lacrima salata bagna la mia guancia mentre ,"['una', 'lacrima', 'salata', 'bagna', 'la', 'mia', 'guancia', 'mentre']",una lacrima salata bagna la mia guancia mentre
719,Måneskin,lei con la mano mi accarezza in viso dolcemente ,"['lei', 'con', 'la', 'mano', 'mi', 'accarezza', 'in', 'viso', 'dolcemente']",lei con la mano mi accarezza in viso dolcemente
720,Måneskin,col sangue sulle mani scalerò tutte le vette ,"['col', 'sangue', 'sulle', 'mani', 'scalerò', 'tutte', 'le', 'vette']",col sangue sulle mani scalerò tutte le vette
721,Måneskin,voglio arrivare dove l'occhio umano si interrompe ,"['voglio', 'arrivare', 'dove', ""l'occhio"", 'umano', 'si', 'interrompe']",voglio arrivare dove l'occhio umano si interrompe
722,Måneskin,per imparare a perdonare tutte le mie colpe ,"['per', 'imparare', 'a', 'perdonare', 'tutte', 'le', 'mie', 'colpe']",per imparare a perdonare tutte le mie colpe
723,Måneskin,"perché anche gli angeli, a volte, han paura della morte ","['perché', 'anche', 'gli', 'angeli', ',', 'a', 'volte', ',', 'han', 'paura', 'della', 'morte']","perché anche gli angeli , a volta , han paura della morte"
724,Måneskin,che mi è rimasto un foglio in mano e mezza sigaretta ,"['che', 'mi', 'è', 'rimasto', 'un', 'foglio', 'in', 'mano', 'e', 'mezza', 'sigaretta']",che mi è rimasto un foglio in mano e mezza sigaretta
725,Måneskin,corriamo via da chi c'ha troppa sete di vendetta ,"['corriamo', 'via', 'da', 'chi', ""c'ha"", 'troppa', 'sete', 'di', 'vendetta']",corriamo via da chi c'ha troppa sete di vendetta
726,Måneskin,da questa terra ferma perché ormai la sento stretta,"['da', 'questa', 'terra', 'ferma', 'perché', 'ormai', 'la', 'sento', 'stretta']",da questa terra ferma perché ormai la sento stretta
727,Måneskin,ieri ero quiete perché oggi sarò la tempesta ,"['ieri', 'ero', 'quiete', 'perché', 'oggi', 'sarò', 'la', 'tempesta']",ieri ero quiete perché oggi sarò la tempesta
729,Måneskin,"quindi marlena torna a casa, che il freddo qua si fa sentire ","['quindi', 'marlena', 'torna', 'a', 'casa', ',', 'che', 'il', 'freddo', 'qua', 'si', 'fa', 'sentire']","quindi marlena torna a casa , che il freddo qua si fa sentire"
730,Måneskin,"quindi marlena torna a casa, che non voglio più aspettare ","['quindi', 'marlena', 'torna', 'a', 'casa', ',', 'che', 'non', 'voglio', 'più', 'aspettare']","quindi marlena torna a casa , che non voglio più aspettare"
731,Måneskin,"quindi marlena torna a casa, che il freddo qua si fa sentire ","['quindi', 'marlena', 'torna', 'a', 'casa', ',', 'che', 'il', 'freddo', 'qua', 'si', 'fa', 'sentire']","quindi marlena torna a casa , che il freddo qua si fa sentire"
732,Måneskin,"quindi marlena torna a casa, che ho paura di sparire ","['quindi', 'marlena', 'torna', 'a', 'casa', ',', 'che', 'ho', 'paura', 'di', 'sparire']","quindi marlena torna a casa , che ho paura di sparire"
734,Måneskin,"prima di te ero solo un pazzo, ora lascia che ti racconti ","['prima', 'di', 'te', 'ero', 'solo', 'un', 'pazzo', ',', 'ora', 'lascia', 'che', 'ti', 'racconti']","prima di te ero solo un pazzo , os lascia che ti racconti"
735,Måneskin,avevo una giacca sgualcita e portavo tagli sui polsi ,"['avevo', 'una', 'giacca', 'sgualcita', 'e', 'portavo', 'tagli', 'sui', 'polsi']",avevo una giacca sgualcita e portavo tagli sui polsi
736,Måneskin,oggi mi sento benedetto e non trovo niente da aggiungere ,"['oggi', 'mi', 'sento', 'benedetto', 'e', 'non', 'trovo', 'niente', 'da', 'aggiungere']",oggi mi sento benedetto e non trovo niente da aggiungere
737,Måneskin,questa città si affaccerà quando ci vedrà giungere ,"['questa', 'città', 'si', 'affaccerà', 'quando', 'ci', 'vedrà', 'giungere']",questa città si affaccerà quando ci vedrà giungere
738,Måneskin,"ero in bilico tra l'essere vittima, essere giudice ","['ero', 'in', 'bilico', 'tra', ""l'essere"", 'vittima', ',', 'essere', 'giudice']","ero in bilico tra l'essere vittima , essere giudice"
739,Måneskin,era un brivido che porta la luce dentro le tenebre ,"['era', 'un', 'brivido', 'che', 'porta', 'la', 'luce', 'dentro', 'le', 'tenebre']",era un brivido che porta la luce dentro le tenebre
740,Måneskin,"e ti libera da queste catene splendenti, lucide ","['e', 'ti', 'libera', 'da', 'queste', 'catene', 'splendenti', ',', 'lucide']","e ti libera da queste catene splendenti , lucide"
741,Måneskin,"ed il dubbio o no, se fossero morti oppure rinascite ","['ed', 'il', 'dubbio', 'o', 'no', ',', 'se', 'fossero', 'morti', 'oppure', 'rinascite']","ed il dubbio o no , se fossero morti oppure rinascite"
743,Måneskin,"quindi marlena torna a casa, che il freddo qua si fa sentire ","['quindi', 'marlena', 'torna', 'a', 'casa', ',', 'che', 'il', 'freddo', 'qua', 'si', 'fa', 'sentire']","quindi marlena torna a casa , che il freddo qua si fa sentire"
744,Måneskin,"quindi marlena torna a casa, che non voglio più aspettare ","['quindi', 'marlena', 'torna', 'a', 'casa', ',', 'che', 'non', 'voglio', 'più', 'aspettare']","quindi marlena torna a casa , che non voglio più aspettare"
745,Måneskin,"quindi marlena torna a casa, che il freddo qua si fa sentire ","['quindi', 'marlena', 'torna', 'a', 'casa', ',', 'che', 'il', 'freddo', 'qua', 'si', 'fa', 'sentire']","quindi marlena torna a casa , che il freddo qua si fa sentire"
746,Måneskin,"quindi marlena torna a casa, che non voglio più sparire ","['quindi', 'marlena', 'torna', 'a', 'casa', ',', 'che', 'non', 'voglio', 'più', 'sparire']","quindi marlena torna a casa , che non voglio più sparire"
748,Måneskin,quindi marlena torna a casa che il freddo qua si fa sentire ,"['quindi', 'marlena', 'torna', 'a', 'casa', 'che', 'il', 'freddo', 'qua', 'si', 'fa', 'sentire']",quindi marlena torna a casa che il freddo qua si fa sentire
749,Måneskin,quindi marlena torna a casa che ho paura di sparire,"['quindi', 'marlena', 'torna', 'a', 'casa', 'che', 'ho', 'paura', 'di', 'sparire']",quindi marlena torna a casa che ho paura di sparire
750,Måneskin,e adesso giuro faccio le valigie ,"['e', 'adesso', 'giuro', 'faccio', 'le', 'valigie']",e adesso giuro faccio le valigie
751,Måneskin,e scappo via in un'altra dimensione ,"['e', 'scappo', 'via', 'in', ""un'altra"", 'dimensione']",e scappo via in un'altra dimensione
752,Måneskin,son stanco delle vostre facce grigie ,"['son', 'stanco', 'delle', 'vostre', 'facce', 'grigie']",son stanco delle vostre facce grigie
753,Måneskin,voglio un mondo rosa pieno di colore ,"['voglio', 'un', 'mondo', 'rosa', 'pieno', 'di', 'colore']",voglio un mondo rosa pieno di colore
754,Måneskin,voi comprate amore con le carte visa ,"['voi', 'comprate', 'amore', 'con', 'le', 'carte', 'visa']",voi comprate amore con le carte visa
755,Måneskin,con le facce intrise sì ma di sudore ,"['con', 'le', 'facce', 'intrise', 'sì', 'ma', 'di', 'sudore']",con le facce intrise sì ma di sudore
756,Måneskin,e adesso giuro faccio le valigie ,"['e', 'adesso', 'giuro', 'faccio', 'le', 'valigie']",e adesso giuro faccio le valigie
757,Måneskin,e scappo via dalla dolce marlena ,"['e', 'scappo', 'via', 'dalla', 'dolce', 'marlena']",e scappo via dalla dolce marlena
759,Måneskin,marlena sì portami a ballare ,"['marlena', 'sì', 'portami', 'a', 'ballare']",marlena sì portami a ballare
760,Måneskin,"stasera marlena, marlena ","['stasera', 'marlena', ',', 'marlena']","stasera marlena , marlena"
761,Måneskin,sì portami a ballare stasera marlena ,"['sì', 'portami', 'a', 'ballare', 'stasera', 'marlena']",sì portami a ballare stasera marlena
762,Måneskin,marlena sì portami a ballare ,"['marlena', 'sì', 'portami', 'a', 'ballare']",marlena sì portami a ballare
763,Måneskin,"stasera marlena, marlena ","['stasera', 'marlena', ',', 'marlena']","stasera marlena , marlena"
764,Måneskin,sì portami a bailar ,"['sì', 'portami', 'a', 'bailar']",sì portami a bailar
766,Måneskin,amico mio devi essere felice ,"['amico', 'mio', 'devi', 'essere', 'felice']",amico mio devi essere felice
767,Måneskin,perché il nuovo mondo sta per arrivare ,"['perché', 'il', 'nuovo', 'mondo', 'sta', 'per', 'arrivare']",perché il nuovo mondo sta per arrivare
768,Måneskin,e non c'è taglio non c'è cicatrice ,"['e', 'non', ""c'è"", 'taglio', 'non', ""c'è"", 'cicatrice']",e non c'è taglio non c'è cicatrice
769,Måneskin,che questa passione non possa curare ,"['che', 'questa', 'passione', 'non', 'possa', 'curare']",che questa passione non possa curare
770,Måneskin,"io, io dalla polvere come fenice ","['io', ',', 'io', 'dalla', 'polvere', 'come', 'fenice']","io , io dalla polvere come fenice"
771,Måneskin,son risorto ed ho imparato anche a volare ,"['son', 'risorto', 'ed', 'ho', 'imparato', 'anche', 'a', 'volare']",son risorto ed ho imparato anche a volare
772,Måneskin,soltanto perché ho fatto le valigie ,"['soltanto', 'perché', 'ho', 'fatto', 'le', 'valigie']",soltanto perché ho fatto le valigie
